pressure, temperature, conductivity, salinity, fluorescence, PAR/Irradience, Turbidity, Scan Count, Density, CDOM, Flag
     11.879 ,   15.2319 ,42.931943 ,  34.8012 ,   0.0938,1.3982e+01,    0.3948  ,     108,  1025.8202,     0.0558, 0.000e+00
     11.869 ,   15.2361 ,42.946068 ,  34.8103 ,   0.0940,1.3911e+01,    0.3951  ,     109,  1025.8262,     0.0573, 0.000e+00
     11.869 ,   15.2368 ,42.945189 ,  34.8088 ,   0.0915,1.3842e+01,    0.3641  ,     110,  1025.8250,     0.0578, 0.000e+00
     11.869 ,   15.2375 ,42.948231 ,  34.8110 ,   0.0915,1.3810e+01,    0.3640  ,     111,  1025.8265,     0.0581, 0.000e+00
     11.872 ,   15.2369 ,42.951678 ,  34.8146 ,   0.0914,1.3820e+01,    0.3587  ,     112,  1025.8294,     0.0558, 0.000e+00
     11.870 ,   15.2351 ,42.954923 ,  34.8192 ,   0.0917,1.3815e+01,    0.3581  ,     113,  1025.8333,     0.0568, 0.000e+00
     11.876 ,   15.2328 ,42.957424 ,  34.8235 ,   0.0913,1.3774e+01,    0.3546  ,     114,  1025.8372,     0.0563, 0.000e+00
     11.882 ,   15.2302 ,42.961142 ,  34.8291 ,   0.0918,1.3727e+01,    0.3550  ,     115,  1025.8421,     0.0572, 0.000e+00
     11.888 ,   15.2304 ,42.961954 ,  34.8297 ,   0.0927,1.3698e+01,    0.3562  ,     116,  1025.8426,     0.0560, 0.000e+00
     11.891 ,   15.2325 ,42.954923 ,  34.8215 ,   0.0923,1.3669e+01,    0.3560  ,     117,  1025.8358,     0.0553, 0.000e+00
     11.885 ,   15.2384 ,42.945932 ,  34.8081 ,   0.0932,1.3684e+01,    0.3680  ,     118,  1025.8241,     0.0562, 0.000e+00
     11.886 ,   15.2511 ,42.936198 ,  34.7880 ,   0.0927,1.3747e+01,    0.3676  ,     119,  1025.8058,     0.0565, 0.000e+00
     11.870 ,   15.2604 ,42.927209 ,  34.7716 ,   0.0936,1.3857e+01,    0.3599  ,     120,  1025.7910,     0.0564, 0.000e+00
     11.863 ,   15.2603 ,42.931736 ,  34.7758 ,   0.0940,1.3918e+01,    0.3595  ,     121,  1025.7943,     0.0554, 0.000e+00
